"","date","variable","value"
"439",1997-06-16,"GASREGW",1.198
"440",1997-06-23,"GASREGW",1.187
"441",1997-06-30,"GASREGW",1.181
"442",1997-07-01,"MICH",2.7
"443",1997-07-07,"GASREGW",1.177
"444",1997-07-14,"GASREGW",1.173
"445",1997-07-21,"GASREGW",1.177
"446",1997-07-28,"GASREGW",1.17
"447",1997-08-01,"MICH",2.7
"448",1997-08-04,"GASREGW",1.193
"449",1997-08-11,"GASREGW",1.228
"450",1997-08-18,"GASREGW",1.229
"451",1997-08-25,"GASREGW",1.244
"452",1997-09-01,"GASREGW",1.243
"453",1997-09-01,"MICH",2.8
"454",1997-09-08,"GASREGW",1.243
"455",1997-09-15,"GASREGW",1.236
"456",1997-09-22,"GASREGW",1.225
"457",1997-09-29,"GASREGW",1.21
"458",1997-10-01,"MICH",2.8
"459",1997-10-06,"GASREGW",1.209
"460",1997-10-13,"GASREGW",1.203
"461",1997-10-20,"GASREGW",1.193
"462",1997-10-27,"GASREGW",1.182
"463",1997-11-01,"MICH",2.9
"464",1997-11-03,"GASREGW",1.176
"465",1997-11-10,"GASREGW",1.177
"466",1997-11-17,"GASREGW",1.168
"467",1997-11-24,"GASREGW",1.162
"468",1997-12-01,"GASREGW",1.152
"469",1997-12-01,"MICH",2.8
"470",1997-12-08,"GASREGW",1.141
"471",1997-12-15,"GASREGW",1.131
"472",1997-12-22,"GASREGW",1.121
"473",1997-12-29,"GASREGW",1.112
"474",1998-01-01,"MICH",2.3
"475",1998-01-05,"GASREGW",1.102
"476",1998-01-12,"GASREGW",1.094
"477",1998-01-19,"GASREGW",1.083
"478",1998-01-26,"GASREGW",1.066
"479",1998-02-01,"MICH",2.4
"480",1998-02-02,"GASREGW",1.061
"481",1998-02-09,"GASREGW",1.053
"482",1998-02-16,"GASREGW",1.038
"483",1998-02-23,"GASREGW",1.044
"484",1998-03-01,"MICH",2.5
"485",1998-03-02,"GASREGW",1.028
"486",1998-03-09,"GASREGW",1.018
"487",1998-03-16,"GASREGW",1.008
"488",1998-03-23,"GASREGW",1
"489",1998-03-30,"GASREGW",1.03
"490",1998-04-01,"MICH",2.4
"491",1998-04-06,"GASREGW",1.028
"492",1998-04-13,"GASREGW",1.025
"493",1998-04-20,"GASREGW",1.028
"494",1998-04-27,"GASREGW",1.04
"495",1998-05-01,"MICH",2.6
"496",1998-05-04,"GASREGW",1.049
"497",1998-05-11,"GASREGW",1.063
"498",1998-05-18,"GASREGW",1.072
"499",1998-05-25,"GASREGW",1.07
"500",1998-06-01,"GASREGW",1.066
"501",1998-06-01,"MICH",2.7
"502",1998-06-08,"GASREGW",1.075
"503",1998-06-15,"GASREGW",1.066
"504",1998-06-22,"GASREGW",1.058
"505",1998-06-29,"GASREGW",1.057
"506",1998-07-01,"MICH",2.6
"507",1998-07-06,"GASREGW",1.058
"508",1998-07-13,"GASREGW",1.054
"509",1998-07-20,"GASREGW",1.059
"510",1998-07-27,"GASREGW",1.05
"511",1998-08-01,"MICH",2.4
"512",1998-08-03,"GASREGW",1.039
"513",1998-08-10,"GASREGW",1.033
"514",1998-08-17,"GASREGW",1.026
"515",1998-08-24,"GASREGW",1.019
"516",1998-08-31,"GASREGW",1.013
"517",1998-09-01,"MICH",2.3
"518",1998-09-07,"GASREGW",1.007
"519",1998-09-14,"GASREGW",1.002
"520",1998-09-21,"GASREGW",1.014
"521",1998-09-28,"GASREGW",1.014
"522",1998-10-01,"MICH",2.5
"523",1998-10-05,"GASREGW",1.019
"524",1998-10-12,"GASREGW",1.022
"525",1998-10-19,"GASREGW",1.019
"526",1998-10-26,"GASREGW",1.015
"527",1998-11-01,"MICH",2.3
"528",1998-11-02,"GASREGW",1.01
"529",1998-11-09,"GASREGW",1.008
"530",1998-11-16,"GASREGW",0.996
"531",1998-11-23,"GASREGW",0.989
"532",1998-11-30,"GASREGW",0.974
"533",1998-12-01,"MICH",2.5
"534",1998-12-07,"GASREGW",0.954
"535",1998-12-14,"GASREGW",0.945
"536",1998-12-21,"GASREGW",0.944
"537",1998-12-28,"GASREGW",0.937
"538",1999-01-01,"MICH",2.7
"539",1999-01-04,"GASREGW",0.935
"540",1999-01-11,"GASREGW",0.941
"541",1999-01-18,"GASREGW",0.944
"542",1999-01-25,"GASREGW",0.936
"543",1999-02-01,"GASREGW",0.929
"544",1999-02-01,"MICH",2.5
"545",1999-02-08,"GASREGW",0.927
"546",1999-02-15,"GASREGW",0.919
"547",1999-02-22,"GASREGW",0.907
"548",1999-03-01,"GASREGW",0.913
"549",1999-03-01,"MICH",2.7
"550",1999-03-08,"GASREGW",0.921
"551",1999-03-15,"GASREGW",0.977
"552",1999-03-22,"GASREGW",1.017
"553",1999-03-29,"GASREGW",1.082
"554",1999-04-01,"MICH",2.7
"555",1999-04-05,"GASREGW",1.118
"556",1999-04-12,"GASREGW",1.14
"557",1999-04-19,"GASREGW",1.135
"558",1999-04-26,"GASREGW",1.131
"559",1999-05-01,"MICH",2.8
"560",1999-05-03,"GASREGW",1.136
"561",1999-05-10,"GASREGW",1.14
"562",1999-05-17,"GASREGW",1.14
"563",1999-05-24,"GASREGW",1.126
"564",1999-05-31,"GASREGW",1.111
"565",1999-06-01,"MICH",2.5
"566",1999-06-07,"GASREGW",1.112
"567",1999-06-14,"GASREGW",1.108
"568",1999-06-21,"GASREGW",1.124
"569",1999-06-28,"GASREGW",1.113
"570",1999-07-01,"MICH",2.7
"571",1999-07-05,"GASREGW",1.125
"572",1999-07-12,"GASREGW",1.143
"573",1999-07-19,"GASREGW",1.169
"574",1999-07-26,"GASREGW",1.193
"575",1999-08-01,"MICH",2.8
"576",1999-08-02,"GASREGW",1.195
"577",1999-08-09,"GASREGW",1.206
"578",1999-08-16,"GASREGW",1.236
"579",1999-08-23,"GASREGW",1.234
"580",1999-08-30,"GASREGW",1.233
"581",1999-09-01,"MICH",2.7
"582",1999-09-06,"GASREGW",1.242
"583",1999-09-13,"GASREGW",1.25
"584",1999-09-20,"GASREGW",1.268
"585",1999-09-27,"GASREGW",1.262
"586",1999-10-01,"MICH",2.9
"587",1999-10-04,"GASREGW",1.255
"588",1999-10-11,"GASREGW",1.249
"589",1999-10-18,"GASREGW",1.236
"590",1999-10-25,"GASREGW",1.237
"591",1999-11-01,"GASREGW",1.23
"592",1999-11-01,"MICH",2.9
"593",1999-11-08,"GASREGW",1.233
"594",1999-11-15,"GASREGW",1.251
"595",1999-11-22,"GASREGW",1.269
"596",1999-11-29,"GASREGW",1.274
"597",1999-12-01,"MICH",3
"598",1999-12-06,"GASREGW",1.273
"599",1999-12-13,"GASREGW",1.275
"600",1999-12-20,"GASREGW",1.269
"601",1999-12-27,"GASREGW",1.273
"602",2000-01-01,"MICH",3
"603",2000-01-03,"GASREGW",1.272
"604",2000-01-10,"GASREGW",1.264
"605",2000-01-17,"GASREGW",1.277
"606",2000-01-24,"GASREGW",1.315
"607",2000-01-31,"GASREGW",1.316
"608",2000-02-01,"MICH",2.9
"609",2000-02-07,"GASREGW",1.325
"610",2000-02-14,"GASREGW",1.356
"611",2000-02-21,"GASREGW",1.406
"612",2000-02-28,"GASREGW",1.421
"613",2000-03-01,"MICH",3.2
"614",2000-03-06,"GASREGW",1.501
"615",2000-03-13,"GASREGW",1.527
"616",2000-03-20,"GASREGW",1.529
"617",2000-03-27,"GASREGW",1.508
"618",2000-04-01,"MICH",3.2
"619",2000-04-03,"GASREGW",1.503
"620",2000-04-10,"GASREGW",1.475
"621",2000-04-17,"GASREGW",1.444
"622",2000-04-24,"GASREGW",1.437
"623",2000-05-01,"GASREGW",1.42
"624",2000-05-01,"MICH",3
"625",2000-05-08,"GASREGW",1.455
"626",2000-05-15,"GASREGW",1.492
"627",2000-05-22,"GASREGW",1.527
"628",2000-05-29,"GASREGW",1.54
"629",2000-06-01,"MICH",2.9
"630",2000-06-05,"GASREGW",1.563
"631",2000-06-12,"GASREGW",1.631
"632",2000-06-19,"GASREGW",1.681
"633",2000-06-26,"GASREGW",1.658
"634",2000-07-01,"MICH",3
"635",2000-07-03,"GASREGW",1.625
"636",2000-07-10,"GASREGW",1.593
